Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
"Korea, Rep.",561633125840,533052076314,609020054512,680520724062,764880644711,898137194716,1011797457139,1122679154632,1002219052968,901934953365,1094499338703,1202463682634,1222807284485,1305604981272,1411333926201,1382764027114,1414804158515,1530750923149
Kuwait,37711864407,34890772742,38137545245,47875838926,59440108585,80797945205,101550654721,114641097818,147395833333,105899930507,115419050942,154027536232,174070025009,174161142454,162631412509,114567298106,110912280702,120126277613
Lao PDR,1731198022,1768619058,1758176653,2023324407,2366398120,2735558726,3452882514,4222962988,5443915121,5832915387,7127792630,8749241114,10191350120,11942230508,13268458232,14390391264,15805707154,16853079615
Lebanon,17260364842,17649751244,19152238806,20082918740,20955223881,21287562189,21796351575,24577114428,29227350570,35477118070,38419626628,40075674163,43868565282,46014226808,47833413749,49459296463,49598825982,51844487742
Liberia,529064600,521000000,543000000,416000000,474700000,550000000,604028900,739027200,850040500,1155147400,1292697100,1545400000,1735500000,1946500000,2013000000,2034000000,2101000000,2158000000
Libya,38270206950,34110064452,20481889764,26265625000,33122307692,47334148578,54961936663,67516236338,87140405361,63028320702,74773444901,34699395524,81873662519,65502870174,41142722414,29274816454,32257171354,50984362478
St. Lucia,784159228.7,743808076,748346605.9,823837141.1,893107210.8,951207366,1134193630,1277494148,1282215407,1262973407,1381968259,1437684815,1436803333,1489928889,1551921037,1649142630,1667078704,1712306556
Latin America & Caribbean,2287147799918,2237489265850,2007554359341,2050862255943,2363196686485,2858514895997,3349188405527,3945134128214,4584233321000,4306894981162,5340986877009,6073300034780,6134230329295,6283950806814,6404663412439,5504776411963,5360659105920,5954671133086
Liechtenstein,2483953103,2491822707,2688630823,3070691320,3454362686,3659251526,4000239273,4601299567,5081432924,4504549214,5082366478,5739977477,5456009385,6391735894,6657170923,6289165410,6289165410,6289165410
Sri Lanka,16330814180,15749753805,16536535647,18881765437,20662525941,24405791045,28267410543,32351184234,40715240469,42067974595,56728002830,65289915890,68436230408,74294206491,79359306576,80554807486,81788375090,87174682200
Lesotho,887295267.9,825706961.2,775780697.7,1157832935,1511236656,1682350935,1800105590,1820811281,1870722801,1865963015,2385950664,2788022889,2678494689,2526020566,2614576996,2505879960,2291319972,2639386291
Lithuania,11539211480,12252498921,14278357284,18802576988,22649930576,26125575942,30216060233,39738180077,47850551149,37440673478,37120517694,43476873413,42848195256,46417340375,48516371721,41508609233,42773029835,47168303744
Luxembourg,21263514833,21272418792,23616328816,29557325056,34685281848,37347394603,42414308117,50888134410,55849686539,51370543206,53212476812,60004630234,56677961787,61739352212,66327344189,57784495265,58631324559,62404461275
Latvia,7937758980,8350252966,9546441564,11748433157,14373269156,16922504045,21447021570,30901399261,35596016664,26169854045,23757368290,28223552825,28119996053,30254677297,31335013752,26972863394,27571513793,30264454642
"Macao SAR, China",6720492406,6811227983,7322677820,8195033162,10585624891,12092222042,14789661809,18340447243,20917444920,21475520709,28123640999,36709860068,43031577366,51552075902,55347998648,45361678147,45310877913,50361201096
Morocco,38857251336,39459581217,42236836821,52064058834,59626020162,62343022651,68640825481,79041294874,92507257784,92897320376,93216746662,101370474295,98266306615,106825649872,109881398475,100593283697,103606321693,109139484007
Moldova,1288429151,1480656884,1661818168,1980901554,2598231467,2988338439,3408272498,4401154128,6054806101,5439422031,5811604052,7015206498,7284686576,7985349731,7983271111,6512899540,6795741776,8128493432
Madagascar,3877673539,4529575348,4397254608,5474030080,4363934494,5039293031,5515884349,7342923489,9413002921,8550363975,8729936136,9892702358,9919780071,10601690872,10673516673,9744243531,10001193315,11499803807
